entry_scope,entry_number,section,variable_name,platform_question_type,prompt,choices_or_validation,grading_mode,points,reuse_notes
all,all,reasoning,evidence_type,dropdown,"What kind of evidence most directly supports your claim?","residue identity; noncovalent interaction; secondary structure; ligand/cofactor location; active-site geometry; conservation; pH/charge behavior; solvent accessibility; hydrophobic packing; subunit/interface location; other",auto_completion,0.25,"Use in every entry"
all,all,reasoning,evidence_statement,short_answer,"State the evidence from your screenshot or Atlas exploration.","Suggested 1-2 sentences",manual,0.50,"Use in every entry"
all,all,reasoning,limitation_uncertainty,short_answer,"What is one limitation or uncertainty in your interpretation?","Suggested 1 sentence",completion_manual,0.25,"Use in every entry"
all,all,analytics,confidence_rating,likert,"How confident are you in your interpretation?","1 not confident; 2 slightly confident; 3 moderately confident; 4 confident; 5 very confident",auto_completion,0.25,"Use in every entry"
all,all,analytics,difficulty_rating,likert,"How difficult was this exploration?","1 very easy; 2 easy; 3 moderate; 4 difficult; 5 very difficult",auto_completion,0.25,"Use in every entry"
all,all,analytics,usefulness_rating,likert,"How useful was the Atlas for understanding this week?","1 not useful; 2 slightly useful; 3 moderately useful; 4 useful; 5 very useful",auto_completion,0.25,"Use in every entry"
all,all,analytics,time_on_task,multiple_choice,"About how long did this entry take?","under 10 minutes; 10-15 minutes; 15-25 minutes; 25-35 minutes; over 35 minutes",auto_completion,0.25,"Use in every entry"
all,all,analytics,muddiest_point,short_answer,"What is one thing that still feels unclear?","Suggested 1 sentence",completion,0.50,"Use in every entry"
entry_specific,1,chemistry,ionizable_residue_type,dropdown,"Which ionizable residue or group did you inspect?","Asp; Glu; His; Cys; Tyr; Lys; Arg; N-terminus; C-terminus; none/unsure",auto_completion,0.75,"Entry 1 only"
entry_specific,1,chemistry,ionization_charge_explanation,short_answer,"What charge or protonation behavior might matter for this residue?","Suggested 1-2 sentences",manual,1.75,"Entry 1 only"
entry_specific,2,recognition,recognition_feature_type,dropdown,"What feature did you investigate?","ligand; substrate analog; inhibitor; cofactor; catalytic residue; metal ion; binding pocket; other/unsure",auto_completion,0.25,"Entry 2 only"
entry_specific,2,recognition,recognition_features_observed,checkbox,"Which recognition features did you observe?","shape complementarity; hydrogen bonding; ionic interaction; hydrophobic pocket; metal coordination; cofactor positioning; pH-sensitive residue; conserved active-site residue",completion,0.25,"Entry 2 only"
entry_specific,2,recognition,recognized_molecule_or_residue,short_answer,"Which molecule or residue is being recognized?","Required short text",completion,0.25,"Entry 2 only"
entry_specific,2,recognition,recognition_structure_detail,short_answer,"What structural feature helps recognition?","Suggested 1-2 sentences",manual,0.75,"Entry 2 only"
entry_specific,2,recognition,catalysis_connection,short_answer,"How could this structure support catalysis?","Suggested 1-2 sentences",manual,1.00,"Entry 2 only"
entry_specific,3,systems,system_context,dropdown,"Which system context best fits your example?","membrane transport; signaling; metabolic regulation; structural organization; carbohydrate recognition; cellular assembly; other/unsure",auto_completion,0.25,"Entry 3 only"
entry_specific,3,systems,system_features_observed,checkbox,"Which system-level features did you observe?","membrane-spanning region; binding site; subunit interface; channel/pore; regulatory domain; carbohydrate interaction; nucleotide-binding site; conformational change; surface charge pattern",completion,0.25,"Entry 3 only"
entry_specific,3,systems,cellular_process,short_answer,"What cellular system or process does this molecule support?","Required short text",completion,0.25,"Entry 3 only"
entry_specific,3,systems,system_structure_detail,short_answer,"What structural feature helps it participate in that system?","Suggested 1-2 sentences",manual,0.75,"Entry 3 only"
entry_specific,3,systems,system_function_connection,short_answer,"How does molecular organization support biological function?","Suggested 1-2 sentences",manual,1.00,"Entry 3 only"
entry_specific,4,metabolism,metabolic_role,dropdown,"Which metabolic role best fits this enzyme?","glycolysis; citric acid cycle; electron transport; ATP synthesis; fermentation; amino acid metabolism; lipid metabolism; nucleotide metabolism; other/unsure",auto_completion,0.25,"Entry 4 only"
entry_specific,4,metabolism,metabolic_features_observed,checkbox,"Which metabolic enzyme features did you observe?","active site; substrate-binding pocket; cofactor; metal ion; catalytic residue; flexible loop; oligomer/interface; conserved residue; charged pocket",completion,0.25,"Entry 4 only"
entry_specific,4,metabolism,metabolic_reaction_pathway,short_answer,"What reaction or pathway is associated with this enzyme?","Required short text",completion,0.25,"Entry 4 only"
entry_specific,4,metabolism,metabolic_structure_detail,short_answer,"Which structural feature supports the enzyme's metabolic function?","Suggested 1-2 sentences",manual,0.75,"Entry 4 only"
entry_specific,4,metabolism,metabolic_function_connection,short_answer,"How does this molecular structure help explain energy flow or pathway function?","Suggested 1-2 sentences",manual,1.00,"Entry 4 only"
